DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,OVERLAP,COUNTRY_UPDATE_DATE,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME,LATEST_ACTUAL_ANNUAL_DATA,HISTORICAL_DATA_SOURCE,BASE_YEAR,START_END_MONTHS_OF_REPORTING_YEAR,CHAIN_WEIGHTED,BASIS_OF_PROJECTIONS,VALUATION,PRICES_SECTOR_HARMONIZED_PRICES,LABOR_SECTOR_EMPLOYMENT_TYPE,FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION,FISCAL_SECTOR_VALUATION_OF_DEBT,FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT,TRADE_SECTOR_OIL_COVERAGE,PRIMARY_DOMESTIC_CURRENCY,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
IMF.RES:WEO(9.0.0),GHA.BCA.A,OBS_VALUE,Ghana,"Current account balance (credit less debit), US dollar",Annual,Billions,Three,,Current account balance,,,,,,,,,,,,,,US dollar,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Balance of payments; Current account,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,"Balance of Payments Manual, fifth edition (BPM5)",Official Reserves include foreign assets held by Ghana Petroleum and Stabilization Fund and exclude encumbered assets. Data prior to 2005 excludes exceptional financing. Manual used: Migration not complete.,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Current account balance (credit less debit), US dollar",2023,Central Bank,,,,,,,,,,,,Ghanaian cedi,-0.054,-0.508,-0.19,-0.155,-0.073,-0.152,-0.084,-0.096,-0.071,-0.078,-0.162,-0.244,-0.367,-0.55,-0.254,-0.144,-0.307,-0.405,-0.522,-0.965,-0.386,-0.427,-0.105,0.102,-0.59,-1.105,-1.04,-2.156,-3.406,-1.398,-2.77,-3.541,-4.911,-5.704,-3.694,-2.824,-2.841,-2.002,-2.043,-1.526,-1.774,-2.157,-1.701,-1.289,0.924,2.025,1.899,0.975,0.389,0.431,-0.103
IMF.RES:WEO(9.0.0),GHA.NGDP_RPCH.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,Constant prices,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Real GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Constant prices, Percent change",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,0.453,-3.754,-8.303,-6.222,9.378,6.433,6.189,6.659,6.468,4.541,3.595,4.774,4.473,4.772,3.508,4.233,4.765,5.797,5.01,4.529,3.596,3.828,4.617,5.112,5.404,6.23,5.817,4.074,9.003,5.681,7.778,13.955,8.422,7.241,2.856,2.121,3.373,8.129,6.2,6.508,0.514,5.076,3.818,3.128,5.685,4.026,4.793,4.947,4.995,5,5
IMF.RES:WEO(9.0.0),GHA.NGDPPC.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Nominal GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,0.89,1.376,1.542,3.342,4.841,6.352,9.631,13.648,18.745,24.676,33.648,41.438,47.682,56.826,75.543,108.149,152.701,191.149,229.181,266.852,342.689,465.748,582.171,764.746,894.79,1065.094,1229.754,1441.811,1792.392,2100.258,2550.839,3124.174,3805.92,4545.269,5658.873,6395.49,7480.21,8757.498,10072.181,11406.153,12291.243,14197.846,18532.486,26274.132,34165.215,40196.929,44706.138,49717.154,55381.765,61710.364,68721.712
IMF.RES:WEO(9.0.0),GHA.PCPI.A,OBS_VALUE,Ghana,"All Items, Consumer price index (CPI), Period average",Annual,Units,Three,,,,,,,,,,,Consumer price index (CPI),,,,,Index,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Consumer prices,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"All Items, Consumer price index (CPI), Period average",2024,National Statistics Office,2012,,,,,No,,,,,,Ghanaian cedi,0.057,0.123,0.151,0.335,0.469,0.518,0.645,0.901,1.184,1.483,2.035,2.403,2.644,3.304,4.126,6.573,9.497,11.855,14.132,15.895,19.886,26.435,30.36,38.443,43.312,49.85,55.674,61.647,71.822,81.259,86.702,93.357,99.959,111.621,128.907,151.019,177.378,199.323,218.931,234.711,257.99,283.726,374.295,521.056,640.246,746.815,820.573,886.218,957.116,1033.685,1116.38
IMF.RES:WEO(9.0.0),GHA.GGR_NGDP.A,OBS_VALUE,Ghana,"Revenue, General government, Percent of GDP",Annual,Units,Three,,,,Revenue,,,,,General government,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Revenue, General government, Percent of GDP",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,2.775,1.94,2.694,2.352,3.664,4.886,6.031,6.4,6.155,6.43,4.663,5.613,4.704,6.71,7.709,8.448,6.822,5.826,6.516,5.461,8.002,10.148,7.928,10.13,11.722,11.011,11.265,11.887,11.074,11.522,11.84,14.033,13.696,12.448,13.154,14.616,13.145,13.616,14.104,14.971,14.068,15.182,15.733,15.17,15.864,16.141,17.045,17.168,17.1,17.1,17.1
IMF.RES:WEO(9.0.0),GHA.NGDPRPC.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,Constant prices,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Real GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,2293.704,2146.448,1911.857,1739.777,1854.436,1931.74,2006.645,2091.759,2174.187,2216.841,2238.677,2287.194,2330.837,2382.503,2407.495,2450.862,2508.368,2591.398,2655.835,2709.159,2736.948,2767.032,2816.273,2881.39,2957.713,3060.65,3155.568,3200.559,3401.286,3505.919,3687.801,4102.569,4341.735,4545.268,4565.823,4556.312,4604.018,4870.174,5065.904,5288.329,5210.68,5368.981,5467.927,5532.333,5738.233,5860.855,6032.813,6221.315,6420.529,6628.497,6844.771
IMF.RES:WEO(9.0.0),GHA.GGXONLB_NGDP.A,OBS_VALUE,Ghana,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,Three,,,,Primary net lending (+) / net borrowing (-),,,,,General government,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,-4.048,-3.196,-1.021,-0.628,-0.447,-0.604,-0.418,-0.382,-0.639,-0.306,-1.4,-0.818,-3.71,-3.959,-3.199,-2.774,-3.483,-3.603,-2.461,-3.394,-0.959,-1.178,-0.893,0.519,-0.25,-0.393,-1.719,-3.624,-3.994,-3.069,-4.913,-3.489,-5.743,-5.585,-3.35,0.938,-1.496,1.198,-1.351,-1.975,-11.167,-4.771,-4.323,-0.319,-3.305,1.453,1.5,1.5,1.5,1.5,1
IMF.RES:WEO(9.0.0),GHA.PCPIEPCH.A,OBS_VALUE,Ghana,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,Three,,,,,,,,,,,Consumer price index (CPI),,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Consumer prices,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",2024,National Statistics Office,2012,,,,,No,,,,,,Ghanaian cedi,,100.222,16.787,142.418,5.988,19.499,33.335,34.164,26.571,30.458,35.902,10.261,13.33,27.656,34.179,70.817,26.123,22.141,15.752,13.791,40.54,21.288,15.171,23.563,11.777,14.838,10.923,12.748,18.133,9.459,6.868,8.372,8.124,13.495,16.987,17.692,15.362,11.821,9.425,7.896,10.473,12.621,54.143,23.189,23.836,11.978,8,8,8,8,8
IMF.RES:WEO(9.0.0),GHA.LP.A,OBS_VALUE,Ghana,"Population, Persons for countries / Index for country groups",Annual,Millions,Three,,,,,,,,Population,,,,,,,,,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Population,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,Data cannot be confirmed by national sources at this time. Historical data source: United Nations.,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Population, Persons for countries / Index for country groups",2023,Other,,,,,,,,,,,,Ghanaian cedi,11.941,12.282,12.644,13.03,13.371,13.661,13.965,14.289,14.637,15.007,15.395,15.787,16.185,16.59,16.993,17.399,17.81,18.239,18.688,19.15,19.637,20.167,20.729,21.297,21.868,22.449,23.041,23.642,24.25,24.863,25.475,26.095,26.734,27.386,28.042,28.696,29.357,30.008,30.638,31.259,31.888,32.519,33.149,33.788,34.427,35.064,35.698,36.328,36.959,37.59,38.222
IMF.RES:WEO(9.0.0),GHA.BCA_NGDPD.A,OBS_VALUE,Ghana,"Current account balance (credit less debit), Percent of GDP",Annual,Units,Three,,Current account balance,,,,,,,,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Balance of payments; Current account,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,"Balance of Payments Manual, fifth edition (BPM5)",Official Reserves include foreign assets held by Ghana Petroleum and Stabilization Fund and exclude encumbered assets. Data prior to 2005 excludes exceptional financing. Manual used: Migration not complete.,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Current account balance (credit less debit), Percent of GDP",2023,Central Bank,,,,,,,,,,,,Ghanaian cedi,-0.139,-0.826,-0.267,-0.314,-0.407,-0.949,-0.559,-0.76,-0.527,-0.568,-1.017,-1.369,-2.079,-3.784,-1.894,-0.918,-1.846,-2.379,-2.816,-5.033,-3.13,-3.26,-0.691,0.541,-2.713,-4.182,-3.36,-5.9,-8.241,-3.767,-6.094,-6.604,-8.8,-9.076,-6.757,-5.711,-5.06,-3.316,-3.037,-2.232,-2.534,-2.713,-2.302,-1.601,1.115,1.808,1.674,0.831,0.319,0.337,-0.076
IMF.RES:WEO(9.0.0),GHA.PPPGDP.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Billions,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",,,,,,,,,,,,,,,11.45,12.063,11.745,11.445,12.97,14.241,15.427,16.862,18.586,20.192,21.701,23.506,25.117,26.939,28.48,30.307,32.333,34.797,36.951,39.171,41.499,44.058,46.808,50.173,54.306,59.498,64.901,69.375,77.077,81.958,89.407,103.986,114.842,125.254,131.075,135.097,140.982,155.172,169.625,187.633,192.835,214.867,238.935,255.525,276.756,294.901,314.592,335.691,358.182,382.677,409.348
